taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
B77,1.83277128841945,-3.40949715593577,-1.5349570489401,0.264529812168438,-1.87781004239369,-0.147234520045803,2.26069063797619,3.30809943440645,3.85683726763804,-1.72485073435009
B79,-6.45054057352643,-4.2347068479906,-4.08759084947797,-2.92302374044646,2.74781578302,1.70651442016143,4.33279023553418,0.664592163928813,-2.64601960041853,-0.797965357996365
B84,-21.7762299373863,4.7507487166562,0.657264947962796,0.851259471064986,-0.409669301028346,0.458182819875295,-0.436753457728979,0.169083685946801,1.30182872585759,-0.259122348103482
B97,-2.55573291011423,-7.55922866851183,-1.61473855618773,-2.17902122104825,1.09379728277225,3.48046576189935,-1.36458847138378,0.785625963812228,6.92959845017868,3.44889976338527
C103,4.05974320728845,-12.0208297422737,3.87293871559221,24.0045661356431,0.335492392843733,-0.687097571744552,-1.6366591226784,0.326745768856271,-0.523798640322958,-0.33949670958093
C123,2.38228766191193,-9.92791867196043,2.75111040143831,17.7083342893622,-0.863171892237614,0.140685060841997,-0.207714751228189,-1.13814480399919,0.681758250417268,1.36095522334916
C49A,0.695669637705388,-4.73526011842766,-0.852552388157186,-2.44323346295927,-0.211563579000424,0.572044377190633,-1.98974498954244,2.27415479256038,1.86929064376684,-0.935917489133914
CH701-30,-2.65298835487088,-5.08430343766909,-0.282483068008219,-1.15285825249045,0.24333204271391,1.24017085838337,-3.86630678603277,0.175897118097939,4.87447392754341,-0.771499554436783
CH9,1.57240475094931,-3.93007825487922,-0.0948556852521549,-7.44798881433254,7.75850146791611,0.473557809369807,-10.4561263408467,-6.77638337915994,0.505136833855528,-6.85298265968608
CI7,-0.0118132383452205,-5.37358396192288,1.62464404664326,0.485015992840396,0.426314576770083,1.7677494042876,-4.32958223285294,2.86193792787582,2.49671823941469,-0.20122848010282
CI187-2,4.35122042138776,-2.41255946509608,1.02774911994424,-3.09014209515791,4.2735196275917,-3.15400652646341,-0.41563053393016,-2.77620325501766,-1.43624997010144,-3.50958440032002
CI21E,-5.78319085830052,-0.406623634276616,-0.0592282256703324,-2.27934604437464,0.712409936022339,-0.722610272305528,-4.46256619897208,-0.0714614235879763,1.64306370982725,-0.809918843766586
CI28A,-0.897944688740604,-1.70964010221497,-1.19999418879175,-1.62689883297679,3.99446656502787,2.09247482729937,-4.68517692441766,2.20424205205839,0.884126792535719,-3.37447112573152
